"Product Name",Price
"Single Opteron 12TB","            59€ / kk
                        3kk laskutusjakso"
"Single Opteron 32TB","            99€ / kk
                        3kk laskutusjakso"
"Single Opteron 48TB","            149€ / kk
                        3kk laskutusjakso"
"Single Opteron 64TB","            199€ / kk
                        3kk laskutusjakso"
"Tiedostopalvelin 36TB","            119€ / kk
                        3kk laskutusjakso"
"Tiedostopalvelin 96TB","            249€ / kk
                        3kk laskutusjakso"
"Tiedostopalvelin 144TB","            399€ / kk
                        3kk laskutusjakso"
"Tiedostopalvelin 192TB","            599€ / kk
                        3kk laskutusjakso"
"EPyC 36TB   ","            499€ / kk
                        3kk laskutusjakso"
"EPyC 192TB 10Gbps","            899€ / kk
                        3kk laskutusjakso"
"EPyC 288TB 10Gbps","            1399€ / kk
                        3kk laskutusjakso"
"EPyC 384TB 20Gbps","            2599€ / kk
                        3kk laskutusjakso"
